,SeqNumber,TimeStamp,ProductID,BidVolume1,AskVolume1,Bid1,Ask1
0,3117846,1689644805.313740990,2481,7,1,804000,805000
0,3125527,1689644812.061265666,4938,18,2,837000,838000
0,3128222,1689644814.374368134,4938,1,10,838000,839000
0,3130142,1689644816.158276079,2355,4,17,356000,357000
0,3131260,1689644817.200654106,3035,3,43,3075000,3080000
0,3134642,1689644820.253578762,4938,1,7,840000,841000
0,3140116,1689644824.307897423,2376,6,5,2920000,2925000
0,3148658,1689644831.280346250,3035,15,30,3060000,3065000
0,3152786,1689644834.747419050,2376,16,6,2915000,2920000
0,3158065,1689644839.062091822,1609,49,2,388500,389000
0,3159432,1689644840.285130760,2376,1,17,2915000,2920000
0,3158288,1689644839.262932573,1909,82,13,162500,163500
0,3166832,1689644847.633903102,2376,9,17,2915000,2920000
0,3167700,1689644848.393252052,2615,137,32,505000,507000
0,3170265,1689644850.958894039,2481,10,13,804000,805000
0,3172210,1689644852.545613239,3034,6,4,4105000,4110000
0,3172847,1689644853.063122862,2615,137,32,505000,507000
0,3170961,1689644851.587990061,6213,3,4,746000,748000
0,3184729,1689644864.194618874,6213,1,1,745000,746000
0,3189687,1689644869.303848447,2449,18,2,634000,635000
0,3190404,1689644869.861814406,2376,37,29,2905000,2910000
0,3194587,1689644873.825974713,2301,37,308,1385000,1390000
0,3196800,1689644876.199057334,3380,5,7,434500,435000
0,3201450,1689644881.032406339,2376,99,27,2900000,2905000
0,3200906,1689644880.689450423,2481,1,6,807000,808000
0,3206452,1689644885.867990604,3037,22,190,1840000,1845000
0,3207073,1689644886.235159890,3443,12,1,17850000,17900000
0,3208279,1689644887.335311009,3380,13,3,434000,434500
0,3210921,1689644889.532021912,2481,3,8,807000,808000
0,3216015,1689644894.326249753,2301,40,6,1370000,1375000
0,3216042,1689644894.353344385,3042,1,7,902000,906000
0,3219394,1689644896.922703979,2449,32,8,634000,635000
0,3225721,1689644902.190517731,2301,8,25,1370000,1375000
0,3227991,1689644903.909010420,3035,6,3,3090000,3095000
0,3230602,1689644906.102283868,2376,4,9,2885000,2890000
0,3232367,1689644907.681284516,3035,2,3,3090000,3095000
0,3257260,1689644930.558853431,2376,31,22,2875000,2885000
0,3257753,1689644930.964173239,2376,19,16,2875000,2880000
0,3258619,1689644931.551375926,2376,15,18,2875000,2880000
0,3259219,1689644932.041132680,2376,10,19,2875000,2880000
0,3259557,1689644932.407509965,2376,5,20,2875000,2880000
0,3269939,1689644941.397174285,2301,76,77,1350000,1355000
0,3283459,1689644953.981123888,2376,1,27,2880000,2885000
0,3295044,1689644963.444985836,2376,4,20,2880000,2885000
0,3296976,1689644965.142743604,2376,1,26,2880000,2885000
0,3298899,1689644966.385286153,2376,3,24,2880000,2885000
0,3301450,1689644968.398310577,2449,28,2,635000,636000
0,3301997,1689644968.908025475,1609,1,4,391000,391500
0,3302699,1689644969.524359192,2376,33,23,2875000,2885000
0,3311053,1689644977.038685737,3035,34,25,3100000,3110000
0,3314183,1689644979.511614671,2376,12,26,2880000,2885000
0,3314525,1689644979.861992820,3035,45,4,3100000,3105000
0,3321231,1689644985.441839653,4938,22,25,834000,836000
0,3331917,1689644995.425100224,3035,1,22,3110000,3115000
0,3334788,1689644997.989403497,2376,1,32,2880000,2885000
0,3336364,1689644999.478062066,2376,2,30,2875000,2885000
0,3345935,1689645007.536918512,2481,12,5,806000,807000
0,3348394,1689645009.675548857,4938,10,34,830000,832000
0,3362095,1689645023.298017289,2376,20,32,2875000,2880000
0,3361363,1689645022.488626372,6213,2,3,745000,746000
0,3364676,1689645026.068894749,6213,10,2,744000,745000
0,3366365,1689645027.832910239,6213,3,1,744000,746000
